(50, Nature);(50, Nature);(50, Nature);(50, Nature);(50, Emploi);(50, Residence);(50, Energie);(50, Residence);(50, Residence);(50, Nature)
(50, Residence);(50, Nature);(50, Nature);(50, Nature);(50, Nature);(50, Nature);(50, Residence);(50, Residence);(50, Residence);(50, Nature)
(50, Emploi);(50, Residence);(50, Residence);(50, Nature);(50, Nature);(50, Nature);(50, Residence);(50, Energie);(50, Nature);(50, Emploi)
(50, Energie);(50, Residence);(50, Residence);(50, Nature);(50, Nature);(50, Nature);(50, Residence);(50, Residence);(50, Nature);(50, Emploi)
(50, Residence);(50, Residence);(50, Residence);(50, Residence);(50, Emploi);(50, Emploi);(50, Residence);(50, Nature);(50, Nature);(50, Residence)
(50, Nature);(50, Nature);(50, Nature);(50, Nature);(50, Emploi);(50, Residence);(50, Energie);(50, Residence);(50, Residence);(50, Nature)
(50, Residence);(50, Nature);(50, Nature);(50, Nature);(50, Nature);(50, Nature);(50, Residence);(50, Residence);(50, Residence);(50, Nature)
(50, Emploi);(50, Residence);(50, Residence);(50, Nature);(50, Nature);(50, Nature);(50, Residence);(50, Energie);(50, Nature);(50, Emploi)
(50, Energie);(50, Residence);(50, Residence);(50, Nature);(50, Nature);(50, Nature);(50, Residence);(50, Residence);(50, Nature);(50, Emploi)
(50, Residence);(50, Residence);(50, Residence);(50, Residence);(50, Emploi);(50, Emploi);(50, Residence);(50, Nature);(50, Nature);(50, Residence)
